UT Date,UT Time,MST Date,MST Time,FWHM,Exp-T,Source,
2025-05-22,07:33:59,2025-05-22,00:33:59,0.8,0.2,Focus,
2025-05-22,08:51:00,2025-05-22,01:51:00,1,0.2,Focus,
2025-05-22,10:09:20,2025-05-22,03:07:24,0.7,0.2,Focus,
2025-05-25,09:25:43,2025-05-25,02:25:42,3,1,Focus,
2025-05-25,09:41:38,2025-05-25,02:41:38,2.6,1,Focus,
2025-05-25,09:53:29,2025-05-25,02:53:29,1.64,1,Focus,
2025-05-25,10:36:47,2025-05-25,03:36:47,0.94,1,Focus,
2025-05-25,10:49:47,2025-05-25,03:49:47,1.27,1,Focus,
2025-05-26,03:26:42,2025-05-25,20:26:42,1.09,1,Focus,
2025-05-26,04:20:37,2025-05-25,21:20:37,1.8,1,Focus,
2025-05-26,05:08:04,2025-05-25,22:08:04,2.51,1,Focus,
2025-05-26,05:20:16,2025-05-25,22:20:16,1.75,1,Focus,
2025-05-26,06:35:37,2025-05-25,23:35:37,1,1,Focus,
2025-05-26,07:40:35,2025-05-26,00:40:35,0.78,1,Focus,
2025-05-26,09:13:14,2025-05-26,02:13:14,0.8,1,Focus,
2025-05-26,10:32:30,2025-05-26,03:32:30,0.75,1,Focus,
2025-05-27,03:26:58,2025-05-26,20:26:58,1.67,1,Focus,
2025-05-27,03:56:00,2025-05-26,20:56:00,1.1,1,Focus,
2025-05-27,04:32:59,2025-05-26,21:32:59,2,1,Focus,
2025-05-27,05:12:12,2025-05-26,22:12:12,1.38,1,Focus,
2025-05-27,07:24:20,2025-05-27,00:24:20,1.23,1,Focus,
2025-05-27,08:04:54,2025-05-27,01:04:54,1.01,1,Focus,
2025-05-27,08:46:48,2025-05-27,01:46:48,0.7,1,Focus,
2025-05-27,09:25:29,2025-05-27,02:25:29,1.14,1,Focus,
2025-05-27,09:48:11,2025-05-27,02:48:10,0.68,1,Focus,
2025-05-28,03:26:19,2025-05-27,20:26:19,1.02,1,Focus,
2025-05-28,04:46:58,2025-05-27,21:46:58,0.97,1,Focus,
2025-05-28,05:44:08,2025-05-27,22:44:08,1,1,Focus,
2025-05-28,05:57:52,2025-05-27,22:57:52,0.8,1,Focus,
2025-05-28,06:11:59,2025-05-27,23:11:59,0.8,1,Focus,
2025-05-28,08:27:46,2025-05-28,01:27:46,1,1,Focus,
2025-05-28,09:43:58,2025-05-28,02:43:58,0.7,1,Focus,
2025-05-28,10:34:49,2025-05-28,03:34:49,0.8,1,Focus,
2025-05-29,04:06:42,2025-05-28,21:06:42,2.5,1,Focus,
2025-05-29,04:07:09,2025-05-28,21:07:09,2,1,Focus,
2025-05-29,04:07:58,2025-05-28,21:07:58,1.92,1,Focus,
2025-05-29,04:08:03,2025-05-28,21:08:03,2.14,1,Focus,
2025-05-29,04:08:18,2025-05-28,21:08:17,2.66,1,Focus,
2025-05-29,04:17:09,2025-05-28,21:17:09,1.7,1,Focus,
2025-05-29,04:43:46,2025-05-28,21:43:46,1.3,1,Focus,
2025-05-29,04:44:15,2025-05-28,21:44:15,1.5,1,Focus,
2025-05-29,06:05:53,2025-05-28,23:05:53,1.11,1,Focus,
2025-05-29,09:12:40,2025-05-29,02:12:40,1.08,1,Focus,
2025-05-29,09:38:41,2025-05-29,02:38:41,1.13,1,Focus,
2025-05-29,10:29:33,2025-05-29,03:29:33,1.3,1,Focus,
2025-05-30,03:50:03,2025-05-29,20:50:03,0.85,1,Focus,
2025-05-30,04:38:53,2025-05-29,21:38:53,0.9,1,Focus,
2025-05-30,05:20:11,2025-05-29,22:20:11,0.9,1,Focus,
2025-05-30,05:52:17,2025-05-29,22:52:17,1.1,1,Focus,
2025-05-30,07:01:16,2025-05-30,00:01:16,0.9,1,Focus,
2025-05-30,08:11:45,2025-05-30,01:11:45,0.8,1,Focus,
2025-05-30,09:05:50,2025-05-30,02:05:50,1,1,Focus,
2025-05-30,09:10:56,2025-05-30,02:10:56,1.1,1,Focus,
2025-05-30,09:22:06,2025-05-30,02:22:06,0.8,1,Focus,
2025-05-30,09:34:08,2025-05-30,02:34:08,0.6,1,Focus,
2025-05-30,09:43:44,2025-05-30,02:43:44,0.8,1,Focus,
2025-05-30,09:52:03,2025-05-30,02:52:03,0.7,1,Focus,
2025-05-30,09:58:35,2025-05-30,02:58:35,0.7,1,Focus,
2025-05-30,10:42:26,2025-05-30,03:42:26,0.9,1,Focus,
2025-05-31,05:50:17,2025-05-30,22:50:17,1.6,1,Focus,
2025-05-31,06:52:15,2025-05-30,23:52:15,1.1,1,Focus,
2025-05-31,08:14:59,2025-05-31,01:14:59,1.75,1,Focus,
2025-05-31,09:03:08,2025-05-31,02:03:08,1.5,1,Focus,
2025-05-31,09:45:11,2025-05-31,02:45:11,1.3,1,Focus,
2025-05-31,10:15:08,2025-05-31,03:15:08,1.9,1,Focus,
2025-05-31,10:54:49,2025-05-31,03:54:49,1.2,1,Focus,
2025-06-01,03:34:07,2025-05-31,20:34:07,1.4,1,Focus,
2025-06-01,03:56:53,2025-05-31,20:56:53,1.2,1,Focus,
2025-06-01,04:23:41,2025-05-31,21:23:40,1.1,1,Focus,
2025-06-01,05:36:18,2025-05-31,22:36:18,1.2,1,Focus,
2025-06-01,05:54:18,2025-05-31,22:54:18,1.5,1,Focus,
2025-06-01,06:11:46,2025-05-31,23:11:46,1,1,Focus,
2025-06-01,06:20:24,2025-05-31,23:20:24,1,1,Focus,
2025-06-01,06:40:57,2025-05-31,23:40:57,0.9,1,Focus,
2025-06-03,10:32:02,2025-06-03,03:32:02,1.15,1,Focus,
2025-06-03,10:50:25,2025-06-03,03:50:25,1.1,1,Focus,
2025-06-03,11:07:25,2025-06-03,04:07:25,1.25,1,Focus,
2025-06-04,03:33:53,2025-06-03,20:33:53,1.25,1,Focus,
2025-06-04,03:55:51,2025-06-03,20:55:51,1.4,1,Focus,
2025-06-04,04:12:29,2025-06-03,21:12:29,1.5,1,Focus,
2025-06-04,04:16:56,2025-06-03,21:16:56,1.4,1,Focus,
2025-06-04,04:58:31,2025-06-03,21:58:31,1.47,1,Focus,
2025-06-04,06:00:23,2025-06-03,23:00:23,1.2,1,Focus,
2025-06-04,06:15:55,2025-06-03,23:15:55,1.1,1,Focus,
2025-06-04,07:38:41,2025-06-04,00:38:41,1.2,1,Focus,
2025-06-04,07:46:28,2025-06-04,00:46:28,0.95,1,Focus,
2025-06-04,09:40:36,2025-06-04,02:40:36,1.2,1,Focus,
2025-06-05,03:31:34,2025-06-04,20:31:34,1,1,Focus,
2025-06-05,03:45:12,2025-06-04,20:45:11,0.85,1,Focus,
2025-06-05,04:18:06,2025-06-04,21:18:06,1.15,1,Focus,
