EXPID,WIYN_FWHM,WIYN_DT_MIN,WIYN_SOURCE,WIYN_UT
293415,0.81,-13.1,Est. from Guider,2025-05-16T03:15:18Z
293416,0.81,-21.41,Est. from Guider,2025-05-16T03:15:18Z
293634,1.5,-14.74,Est. from Guider,2025-05-17T03:10:26Z
293635,1.5,-22.67,Est. from Guider,2025-05-17T03:10:26Z
293649,2.0,21.41,Est. from Guider,2025-05-17T08:15:27Z
293650,2.0,2.87,Est. from Guider,2025-05-17T08:15:27Z
293651,1.7,-14.87,Est. from Guider,2025-05-17T08:15:41Z
293652,1.7,-26.4,Est. from Guider,2025-05-17T08:15:41Z
293653,0.8,20.43,Est. from Guider,2025-05-17T09:24:23Z
293655,0.8,-5.71,Est. from Guider,2025-05-17T09:24:23Z
293656,0.8,-10.46,Est. from Guider,2025-05-17T09:37:38Z
293657,0.9,9.3,Est. from Guider,2025-05-17T10:18:52Z
293658,0.9,-13.95,Est. from Guider,2025-05-17T10:18:52Z
293659,1.1,1.36,Est. from Guider,2025-05-17T10:50:44Z
293661,0.8,-4.04,Est. from Guider,2025-05-17T11:07:57Z
293662,0.8,-19.07,Est. from Guider,2025-05-17T11:07:57Z
293791,0.7,-15.13,Est. from Guider,2025-05-18T03:17:43Z
293792,0.7,-26.59,Est. from Guider,2025-05-18T03:17:43Z
294758,0.8,17.44,Focus,2025-05-22T07:33:59Z
294759,0.8,-8.06,Focus,2025-05-22T07:33:59Z
294761,1.0,27.64,Focus,2025-05-22T08:51:00Z
294762,1.0,9.23,Focus,2025-05-22T08:51:00Z
294763,1.0,-12.15,Focus,2025-05-22T08:51:00Z
294765,0.8,20.74,Focus - Tip-Tilt,2025-05-22T10:09:20Z
294766,0.8,1.92,Focus - Tip-Tilt,2025-05-22T10:09:20Z
294767,0.7,-20.23,Focus,2025-05-22T10:09:20Z
294768,0.5,4.14,Science Image,2025-05-22T10:51:48Z
294769,0.5,-9.48,Science Image,2025-05-22T10:51:48Z
294770,0.5,-28.62,Science Image,2025-05-22T10:51:48Z
294900,0.55,-3.97,Est. from Guider,2025-05-23T03:21:47Z
294901,0.55,-12.9,Est. from Guider,2025-05-23T03:21:47Z
294902,1.4,18.42,Est. from Guider,2025-05-23T04:01:33Z
294903,1.4,0.19,Est. from Guider,2025-05-23T04:01:33Z
294904,1.0,6.38,Est. from Guider,2025-05-23T04:33:25Z
294905,1.0,5.1,Est. from Guider,2025-05-23T04:54:12Z
294906,0.6,1.52,Est. from Guider,2025-05-23T05:11:29Z
294908,0.6,-2.85,Est. from Guider,2025-05-23T05:34:11Z
294909,0.8,-9.1,Est. from Guider,2025-05-23T05:47:31Z
294910,0.8,-27.58,Est. from Guider,2025-05-23T05:47:31Z
294911,1.2,20.49,Est. from Guider,2025-05-23T06:53:06Z
294912,1.2,3.26,Est. from Guider,2025-05-23T06:53:06Z
294913,1.2,-13.73,Est. from Guider,2025-05-23T06:53:06Z
294914,1.2,-2.29,Est. from Guider,2025-05-23T07:20:37Z
294915,0.85,0.43,Est. from Guider,2025-05-23T07:39:18Z
294916,0.7,7.71,Est. from Guider,2025-05-23T08:02:26Z
294917,0.7,-10.23,Est. from Guider,2025-05-23T08:02:26Z
294918,0.7,18.23,Est. from Guider,2025-05-23T08:56:35Z
294919,0.65,5.17,Est. from Guider,2025-05-23T09:11:31Z
294920,0.7,5.35,Est. from Guider,2025-05-23T09:32:08Z
294921,0.6,-3.48,Est. from Guider,2025-05-23T09:42:47Z
294922,0.5,12.3,Est. from Guider,2025-05-23T10:19:29Z
294923,0.5,-9.37,Est. from Guider,2025-05-23T10:19:29Z
295311,3.0,25.44,Focus,2025-05-25T09:25:43Z
295312,3.0,6.38,Focus,2025-05-25T09:25:43Z
295313,2.6,1.69,Focus,2025-05-25T09:41:38Z
295314,1.64,-10.66,Focus,2025-05-25T09:53:29Z
295315,0.94,10.19,Focus,2025-05-25T10:36:47Z
295316,1.27,1.38,Focus,2025-05-25T10:49:47Z
295317,1.27,-12.29,Focus,2025-05-25T10:49:47Z
295450,1.09,-8.27,Focus,2025-05-26T03:26:42Z
295451,1.09,-19.96,Focus,2025-05-26T03:26:42Z
295452,1.8,15.65,Focus,2025-05-26T04:20:37Z
295454,2.51,22.76,Focus,2025-05-26T05:08:04Z
295456,2.51,0.57,Focus,2025-05-26T05:08:04Z
295458,1.75,-9.23,Focus,2025-05-26T05:20:16Z
295459,1.75,-29.1,Focus,2025-05-26T05:20:16Z
295460,1.0,22.8,Focus,2025-05-26T06:35:37Z
295461,1.0,-4.6,Focus,2025-05-26T06:35:37Z
295462,1.0,-27.86,Focus,2025-05-26T06:35:37Z
295463,0.78,18.2,Focus,2025-05-26T07:40:35Z
295464,0.78,-0.77,Focus,2025-05-26T07:40:35Z
295465,0.78,-18.7,Focus,2025-05-26T07:40:35Z
295468,0.8,22.39,Focus,2025-05-26T09:13:14Z
295469,0.8,9.26,Focus,2025-05-26T09:13:14Z
295470,0.8,-4.23,Focus,2025-05-26T09:13:14Z
295471,0.8,-21.91,Focus,2025-05-26T09:13:14Z
295473,0.75,22.75,Focus,2025-05-26T10:32:30Z
295474,0.75,5.54,Focus,2025-05-26T10:32:30Z
295475,0.75,-13.96,Focus,2025-05-26T10:32:30Z
295476,0.75,-29.07,Focus,2025-05-26T10:32:30Z
295606,1.1,13.43,Focus,2025-05-27T03:56:00Z
295607,1.1,-8.46,Focus,2025-05-27T03:56:00Z
295608,2.0,5.49,Focus,2025-05-27T04:32:59Z
295609,2.0,-10.76,Focus,2025-05-27T04:32:59Z
295610,1.38,9.69,Focus,2025-05-27T05:12:12Z
295612,1.38,-15.51,Focus,2025-05-27T05:12:12Z
295617,1.23,23.46,Focus,2025-05-27T07:24:20Z
295618,1.23,3.77,Focus,2025-05-27T07:24:20Z
295619,1.23,-18.97,Focus,2025-05-27T07:24:20Z
295620,1.01,-0.11,Focus,2025-05-27T08:04:54Z
295621,0.7,19.54,Focus,2025-05-27T08:46:48Z
295622,0.7,-3.5,Focus,2025-05-27T08:46:48Z
295623,1.14,12.48,Focus,2025-05-27T09:25:29Z
295624,0.68,9.83,Focus,2025-05-27T09:48:11Z
295625,0.68,-12.82,Focus,2025-05-27T09:48:11Z
295626,0.68,-28.41,Focus,2025-05-27T09:48:11Z
295759,1.02,-4.81,Focus,2025-05-28T03:26:19Z
295760,1.02,-14.63,Focus,2025-05-28T03:26:19Z
295762,0.97,20.95,Focus,2025-05-28T04:46:58Z
295763,0.97,-3.53,Focus,2025-05-28T04:46:58Z
295764,0.97,-25.19,Focus,2025-05-28T04:46:58Z
295766,1.0,6.63,Focus,2025-05-28T05:44:08Z
295767,0.8,0.74,Focus,2025-05-28T05:57:52Z
295768,0.8,-4.64,Focus,2025-05-28T06:11:59Z
295769,0.8,-24.46,Focus,2025-05-28T06:11:59Z
295774,1.0,9.63,Focus,2025-05-28T08:27:46Z
295775,1.0,-10.53,Focus,2025-05-28T08:27:46Z
295776,1.0,-29.34,Focus,2025-05-28T08:27:46Z
295777,0.7,25.57,Focus,2025-05-28T09:43:58Z
295778,0.7,4.1,Focus,2025-05-28T09:43:58Z
295779,0.7,-15.24,Focus,2025-05-28T09:43:58Z
295780,0.8,16.45,Focus,2025-05-28T10:34:49Z
295781,0.8,-2.59,Focus,2025-05-28T10:34:49Z
295782,0.8,-21.92,Focus,2025-05-28T10:34:49Z
295916,2.5,11.68,Focus,2025-05-29T04:06:42Z
295917,2.66,-2.84,Focus,2025-05-29T04:08:18Z
295918,1.7,-6.0,Focus,2025-05-29T04:17:09Z
295919,1.5,-2.06,Focus,2025-05-29T04:44:15Z
295921,1.11,20.8,Focus,2025-05-29T06:05:53Z
295925,1.11,-28.79,Focus,2025-05-29T06:05:53Z
295933,1.08,14.93,Focus,2025-05-29T09:12:40Z
295934,1.08,4.43,Focus,2025-05-29T09:12:40Z
295935,1.08,-12.52,Focus,2025-05-29T09:12:40Z
295936,1.13,-7.56,Focus,2025-05-29T09:38:41Z
295937,1.3,22.35,Focus,2025-05-29T10:29:33Z
295938,1.3,-0.73,Focus,2025-05-29T10:29:33Z
295939,1.3,-25.8,Focus,2025-05-29T10:29:33Z
296070,0.85,12.11,Focus,2025-05-30T03:50:03Z
296071,0.85,1.71,Focus,2025-05-30T03:50:03Z
296072,0.85,-14.48,Focus,2025-05-30T03:50:03Z
296073,0.9,13.5,Focus,2025-05-30T04:38:53Z
296074,0.9,-4.36,Focus,2025-05-30T04:38:53Z
296075,0.9,19.93,Focus,2025-05-30T05:20:11Z
296077,0.9,-3.61,Focus,2025-05-30T05:20:11Z
296078,1.1,8.28,Focus,2025-05-30T05:52:17Z
296079,1.1,-12.27,Focus,2025-05-30T05:52:17Z
296081,0.9,21.32,Focus,2025-05-30T07:01:16Z
296082,0.9,3.58,Focus,2025-05-30T07:01:16Z
296083,0.9,-14.67,Focus,2025-05-30T07:01:16Z
296085,0.8,19.37,Focus,2025-05-30T08:11:45Z
296086,0.8,0.98,Focus,2025-05-30T08:11:45Z
296087,0.8,-14.35,Focus,2025-05-30T08:11:45Z
296088,1.0,20.65,Focus,2025-05-30T09:05:50Z
296090,0.6,0.66,Focus,2025-05-30T09:34:08Z
296091,0.7,-0.74,Focus,2025-05-30T09:52:03Z
296092,0.7,-13.82,Focus,2025-05-30T09:58:35Z
296093,0.9,15.09,Focus,2025-05-30T10:42:26Z
296229,1.6,18.51,Focus,2025-05-31T05:50:17Z
296230,1.6,-2.14,Focus,2025-05-31T05:50:17Z
296231,1.6,-28.37,Focus,2025-05-31T05:50:17Z
296232,1.1,8.13,Focus,2025-05-31T06:52:15Z
296233,1.1,-15.9,Focus,2025-05-31T06:52:15Z
296235,1.75,13.27,Focus,2025-05-31T08:14:59Z
296236,1.75,-8.84,Focus,2025-05-31T08:14:59Z
296237,1.5,22.14,Focus,2025-05-31T09:03:08Z
296238,1.5,3.79,Focus,2025-05-31T09:03:08Z
296239,1.5,-15.41,Focus,2025-05-31T09:03:08Z
296240,1.3,2.69,Focus,2025-05-31T09:45:11Z
296377,1.2,-7.97,Focus,2025-06-01T03:56:53Z
296378,1.1,1.11,Focus,2025-06-01T04:23:41Z
296379,1.1,-12.72,Focus,2025-06-01T04:23:41Z
296382,1.2,-0.36,Focus,2025-06-01T05:36:18Z
296383,1.0,8.46,Focus,2025-06-01T06:11:46Z
