EXPID,X,Y,rot_rate_model,rot_rate_measured,C
163700,-12.443015,-0.61909,0.481,-0.0512794836686772,0.5322794836686772
163820,8.720608,1.48857,0.433,0.11244881653008518,0.32055118346991485
163821,15.573836,5.72247,0.406,-0.2871825173190789,0.6931825173190789
163822,5.196391,-1.84834,0.447,-0.05843611647073174,0.5054361164707317
163823,12.054471,1.2454,0.422,0.08162786797594997,0.34037213202405003
163825,10.852995,0.71027,0.427,-0.005562720562433615,0.4325627205624336
163827,2.695228,-3.04367,0.456,0.04339211516793693,0.41260788483206307
163829,-39.723245,22.85191,0.324,0.033608341634472294,0.2903916583655277
163833,-34.229996,12.84808,0.394,-0.0036014091318981225,0.3976014091318981
163834,-25.749189,8.03862,0.443,0.024306006189843993,0.41869399381015604
163835,-19.244411,12.63907,0.439,0.061622973902422926,0.37737702609757706
163837,-24.035008,4.93295,0.459,-0.07161440736309484,0.5306144073630948
163842,-20.502533,7.22977,0.454,0.0980005753757088,0.35599942462429124
163843,-12.260785,7.73017,0.457,-0.014458217250138,0.47145821725013803
163846,-12.389854,6.26382,0.461,0.011177707699629736,0.4498222923003703
163847,-8.53371,10.58891,0.45,-0.004617453496323393,0.45461745349632343
163848,-11.580078,5.75873,0.462,0.12126887299265475,0.34073112700734526
164009,13.444375,10.0536,0.411,-0.008916857608958623,0.4199168576089586
164012,17.08991,-8.33322,0.404,-0.04435597685758181,0.44835597685758183
164013,16.614424,-15.11423,0.399,0.28104153449507924,0.11795846550492078
164014,-37.111199,28.5943,0.333,-0.04193095246374939,0.3749309524637494
164015,-36.358413,23.22831,0.345,-0.1384753889332096,0.48347538893320957
164017,-32.20437,17.56644,0.384,-0.10221115994100861,0.4862111599410086
164020,-23.846946,15.72848,0.42,-0.1347495490478329,0.5547495490478329
164045,-10.758417,9.56263,0.453,0.050680921406891545,0.40231907859310845
164046,-11.329308,13.71251,0.445,-0.09663957584133089,0.5416395758413309
164047,-11.350773,13.1974,0.446,-0.12381300509233599,0.569813005092336
164048,-13.311057,8.8464,0.454,-0.10500297883978708,0.5590029788397871
164049,-14.190976,4.05919,0.468,0.015745580900701196,0.4522544190992988
164050,-14.888158,7.43201,0.457,-0.11022974180701514,0.5672297418070151
164051,-10.66883,3.09204,0.469,-0.15984015653747652,0.6288401565374765
164052,-10.03558,2.76596,0.469,-0.06557105557918802,0.534571055579188
164053,-7.434601,9.76374,0.452,0.04970091825400362,0.4022990817459964
164054,-15.264999,11.50692,0.447,0.2313692314983459,0.2156307685016541
164055,-7.662306,9.32063,0.452,-0.009689415262772033,0.4616894152627721
164056,3.470331,5.74782,0.442,0.005539412504292222,0.43646058749570776
164057,-5.043547,-5.06636,0.479,-0.04756824541108875,0.5265682454110887
164058,-4.209609,-5.54651,0.478,-0.06608169294774699,0.544081692947747
164059,1.376035,-8.18948,0.465,0.20184469953002085,0.26315530046997915
164158,14.78767,31.28272,0.411,0.19205157345148346,0.2189484265485165
164159,13.580059,9.9086,0.41,-0.1608982816499877,0.5708982816499877
164161,16.707666,-6.24829,0.407,-0.04302460787475982,0.4500246078747598
164162,11.606631,0.31512,0.424,-0.003944251802584731,0.4279442518025847
164163,14.761481,-3.70533,0.415,-0.0765099505767709,0.4915099505767709
164165,1.743583,-1.77626,0.457,0.08519884136766978,0.3718011586323302
164166,3.140854,-1.60722,0.453,-0.0061827321201690785,0.4591827321201691
164167,-31.842952,35.96396,0.38,-0.07071033314192887,0.4507103331419289
164168,-32.058042,33.94759,0.373,-0.10125094109758913,0.47425094109758914
164169,-33.782183,27.66833,0.356,-0.0816605776409734,0.4376605776409734
164170,-34.20329,23.43946,0.358,-0.07319133733844889,0.4311913373384489
164171,-28.764099,12.35647,0.417,0.016376633836194834,0.4006233661638052
164172,-30.145113,8.77852,0.429,-0.08359661210438253,0.5125966121043826
164173,-27.364168,4.2815,0.457,-0.011303874040511223,0.4683038740405112
164174,-24.818975,7.21152,0.448,-0.10720039002023371,0.5552003900202337
164175,-22.190758,6.68251,0.454,-0.008444764259759456,0.46244476425975944
164176,-21.291961,4.69906,0.463,-0.06064463939295412,0.5236446393929541
164177,-18.412346,5.09231,0.463,0.013803122562336503,0.4491968774376635
164178,-14.929237,4.60533,0.466,-0.003540360230869761,0.4695403602308698
164179,-13.212915,6.99798,0.459,-0.015858888184474697,0.4748588881844747
164180,-11.40631,6.26386,0.461,-0.047209697133982015,0.508209697133982
164181,-8.822629,5.73178,0.461,0.00818412089986155,0.4528158791001385
164182,-7.346439,7.86631,0.455,-0.04352155823508838,0.49852155823508837
164183,-6.633337,7.14015,0.456,-0.026819211987648663,0.48281921198764866
164184,-8.387677,7.76227,0.456,-0.05093730020515869,0.5069373002051587
164185,-4.681349,-5.38646,0.479,0.07842432372866041,0.40057567627133955
164186,-4.568007,5.41475,0.457,-0.008900231765631449,0.46590023176563145
164187,-3.877798,7.92336,0.452,-0.06537323972701688,0.5173732397270169
164188,-2.344732,5.72284,0.453,-0.04394779271877029,0.4969477927187703
164189,-0.92657,5.73184,0.451,-0.07581947454588912,0.5268194745458892
164190,2.069453,-8.18948,0.463,-0.021525402565711078,0.4845254025657111
164191,-4.071328,-7.50824,0.481,0.004965514486222248,0.47603448551377775
164545,12.566705,26.69393,0.413,-0.009382556646119916,0.4223825566461199
164546,11.636181,26.59293,0.416,-0.20708398767170472,0.6230839876717047
164547,7.468687,21.99213,0.424,-0.0025658111955349917,0.426565811195535
164549,6.619945,-8.04854,0.447,-0.09318824832744083,0.5401882483274408
164551,7.836026,-14.03719,0.441,0.0001545422551505438,0.44084545774484946
164554,-34.135712,18.98357,0.37,-0.0724053541394549,0.4424053541394549
164555,-37.745704,13.63101,0.374,-0.121631129932773,0.49563112993277303
164556,-31.796463,7.78909,0.429,-0.05526210725696812,0.4842621072569681
164557,-30.566194,12.57339,0.41,-0.09804792339699035,0.5080479233969903
164558,-28.327231,8.49255,0.435,-0.054052443167997455,0.48905244316799745
164559,-26.20161,10.34216,0.432,-0.038408275021059174,0.4704082750210592
164560,-24.493964,12.27771,0.429,-0.052037196807636056,0.48103719680763607
164563,-22.404011,8.80302,0.446,-0.06600125086609443,0.5120012508660945
164564,-21.134483,8.8471,0.448,-0.07252996159770356,0.5205299615977036
164565,-18.767075,10.90969,0.444,-0.14360615161100296,0.5876061516110029
164567,-17.585813,9.38541,0.45,-0.24154346264475357,0.6915434626447536
164569,-12.075744,9.98472,0.452,-0.07271573989098215,0.5247157398909822
164570,-9.302095,12.66235,0.447,0.013214210526977573,0.43378578947302243
164571,-15.679021,7.76203,0.456,-0.0988400838934313,0.5548400838934313
164572,-10.306829,6.59996,0.459,0.12072508264029583,0.33827491735970416
164573,-14.820039,5.41448,0.463,0.03764263511542545,0.4253573648845746
164574,-3.466653,-6.19473,0.477,0.12015243888512628,0.3568475611148737
164575,-5.115249,-7.1281,0.483,0.0793576649341749,0.4036423350658251
164576,-3.416751,-6.47483,0.477,0.07387598124724581,0.40312401875275417
164577,-5.984429,5.7318,0.458,-0.0867530622034384,0.5447530622034384
164578,0.677973,-5.38344,0.464,0.16735257851318006,0.29664742148682
164580,-0.55166,-6.52985,0.469,0.026264873183009876,0.4427351268169901
164581,-3.2743,-7.50823,0.479,0.10375158463514109,0.37524841536485887
164679,-11.299561,-11.63914,0.51,0.19126631099463942,0.3187336890053606
164682,-4.434206,-2.31242,0.472,0.14331101892389514,0.32868898107610484
164687,-33.100637,16.75004,0.383,0.04128133130199346,0.34171866869800654
164688,-38.574973,13.47695,0.37,-0.13650860550447916,0.5065086055044792
164691,-24.023985,10.61133,0.436,-0.14969311321302717,0.5856931132130272
164692,-28.535836,9.56086,0.429,-0.12350088377014067,0.5525008837701406
164694,-25.483463,9.40502,0.438,-0.18241890038111458,0.6204189003811146
164696,-25.248724,6.39027,0.451,-0.08291386842669433,0.5339138684266943
164698,-21.094774,5.28023,0.461,-0.06668476432556159,0.5276847643255616
164699,-18.28789,5.60844,0.462,-0.0446278602043317,0.5066278602043317
164701,-16.183433,7.34598,0.457,-0.07477495719070913,0.5317749571907091
164702,-13.73778,8.78239,0.454,-0.035405785767765124,0.48940578576776517
164703,4.581749,2.17588,0.444,-0.007089341111296154,0.45108934111129617
164704,-9.890674,5.93079,0.461,0.037377261645535245,0.4236227383544648
164705,-7.74927,8.2944,0.455,-0.007206087890399825,0.46220608789039985
164706,-6.779886,9.46868,0.452,-0.010177564288784684,0.4621775642887847
164707,-6.304942,8.30742,0.453,0.04187398751231991,0.4111260124876801
164708,-9.034252,6.02884,0.46,-0.004383035417061797,0.46438303541706183
164709,-7.373475,5.66878,0.46,-0.013010104835379014,0.47301010483537903
164710,-6.228509,6.63203,0.457,-0.06614387588972781,0.5231438758897278
164711,0.413167,9.66576,0.443,0.0522799278274258,0.3907200721725742
164712,0.487229,4.58055,0.45,-0.027679665135945095,0.4776796651359451
164713,0.308789,5.81086,0.449,0.020261690655550477,0.4287383093444495
164714,-6.377297,-7.10513,0.486,0.03520287908768047,0.4507971209123195
164811,-56.839481,59.00629,0.288,-0.03005608898817854,0.3180560889881785
164812,-57.241467,61.19574,0.315,0.08251677150353068,0.23248322849646932
164814,-49.90255,54.60825,0.334,-0.13610827943389284,0.4701082794338929
164816,-43.226486,41.7663,0.307,-0.07993385944714645,0.3869338594471464
164817,-40.911567,46.78944,0.363,-0.04839206564219198,0.411392065642192
164818,-34.075199,57.9422,0.556,0.03874459682017937,0.5172554031798207
164822,-28.329113,25.25721,0.387,-0.1587597177625857,0.5457597177625857
164823,-22.03934,17.18589,0.422,0.08829069225807074,0.33370930774192925
164824,-23.532265,15.14739,0.423,-0.03601867472547963,0.45901867472547964
164825,-27.00681,8.69967,0.437,-0.05510411617652972,0.4921041161765297
164826,-25.991089,12.84881,0.423,-0.10030694858214312,0.5233069485821431
164828,-20.395831,9.40529,0.447,-0.12244121538050504,0.5694412153805051
164830,-20.056637,8.65614,0.45,-0.009709045354998424,0.45970904535499846
164833,-14.633697,10.44473,0.45,0.0013145151914473801,0.44868548480855264
164946,-68.481275,50.0523,-0.019,0.09458994869757457,-0.11358994869757458
164947,-45.99025,68.52996,0.628,-0.10208657132215547,0.7300865713221555
164949,-36.387146,65.19994,0.663,0.0009359880131842194,0.6620640119868159
164950,-32.291932,62.32044,0.643,-0.078054070341619,0.7210540703416191
164951,-35.580126,53.22812,0.478,-0.06297699417327603,0.540976994173276
164952,-36.564311,46.10463,0.399,-0.09141309770346887,0.49041309770346886
164953,-31.412908,24.64589,0.372,0.11840674400050279,0.2535932559994972
164954,-31.060543,21.02722,0.38,-0.07931251863772201,0.45931251863772204
164955,-30.001392,15.68818,0.4,-0.11501878808451708,0.5150187880845171
164956,-28.375673,12.81165,0.416,-0.16845691993260387,0.5844569199326038
164957,-26.001618,13.16486,0.422,-0.19356465195039638,0.6155646519503963
164958,-28.51121,8.65552,0.434,-0.09670769312193604,0.530707693121936
164959,-22.449162,9.09309,0.445,-0.01914245406538328,0.4641424540653833
164960,-23.277431,11.61363,0.434,-0.06555953869869154,0.4995595386986915
164961,-21.529789,9.2972,0.445,-0.013879760541418746,0.45887976054141877
164963,-14.96006,10.96586,0.448,-0.014784871899835487,0.46278487189983547
164966,-11.952976,7.92025,0.457,0.07380086467629196,0.3831991353237081
164967,-8.782075,10.65192,0.45,0.059199239831980284,0.39080076016801973
164968,-8.144714,12.61835,0.447,-0.11028130863995188,0.5572813086399518
164969,-6.973522,11.4021,0.449,-0.06633524635447997,0.51533524635448
164970,-6.74743,7.92233,0.455,0.054112312346849684,0.4008876876531503
164971,-7.360979,8.6625,0.454,-0.011930726278888606,0.4659307262788886
164972,-2.392565,-5.99665,0.474,0.042002035947507864,0.43199796405249213
164974,-6.31768,5.81081,0.458,0.004465778990641043,0.453534221009359
164975,-6.593842,9.10361,0.452,-0.04921020836793841,0.5012102083679384
164976,-5.677162,5.98788,0.457,-0.06408921035323585,0.5210892103532359
164977,-1.907612,5.89188,0.452,-0.00983240191917398,0.461832401919174
165075,-68.287616,36.52638,-0.046,0.08776893779316894,-0.13376893779316895
165076,-47.496222,58.90244,0.425,-0.12802063945501835,0.5530206394550183
165078,-42.426705,45.07104,0.335,-0.06839716187139508,0.40339716187139507
165080,-37.017423,41.55276,0.365,-0.08547937514835756,0.45047937514835756
165082,-35.621186,36.53091,0.355,-0.08141970003487647,0.43641970003487646
165083,-33.400671,33.20341,0.362,-0.09502336926974783,0.45702336926974785
165084,-30.842737,30.42703,0.375,-0.06886485915174045,0.44386485915174045
165085,-31.616569,25.19701,0.37,-0.030634135280171036,0.40063413528017106
165086,-27.670576,11.34132,0.424,-0.05380635288751001,0.47780635288751
165087,-27.368623,15.72834,0.409,-0.17313830682857864,0.5821383068285786
165088,-25.107424,18.28599,0.41,-0.030535971269278598,0.44053597126927857
165089,-24.777014,15.03134,0.42,-0.11007573007150717,0.5300757300715071
165091,-21.108061,14.6004,0.43,0.056526032709755716,0.3734739672902443
165092,-19.375917,14.91655,0.433,-0.02496344289957612,0.45796344289957613
165093,-17.633128,13.59635,0.439,-0.09308324729003874,0.5320832472900388
165094,-16.012573,13.43835,0.441,-0.04613674762394658,0.4871367476239466
165095,-15.269004,12.51817,0.444,-0.047891898558099374,0.4918918985580994
165096,-10.357154,-6.65205,0.495,0.08862334015743795,0.40637665984256205
165097,-8.494219,30.79669,0.45,0.021377834814846123,0.4286221651851539
165098,-9.133242,30.74968,0.45,-0.057906143354357155,0.5079061433543571
165099,-9.58039,31.07374,0.45,-0.0003008942697197471,0.45030089426971975
165100,-9.751662,30.15656,0.448,-0.04768326049459811,0.4956832604945981
165101,-6.643283,34.12841,0.461,0.04671178329164902,0.41428821670835103
165102,-7.027649,32.42304,0.456,-0.21455840673974982,0.6705584067397499
165103,-7.660583,33.64128,0.459,0.11163197981734457,0.34736802018265545
165104,-3.598494,37.08706,0.473,0.07780547742830474,0.39519452257169524
165105,-5.284186,34.89561,0.464,-0.08827375819021407,0.5522737581902141
165106,-3.82013,31.94195,0.455,0.2781786796514231,0.1768213203485769
165107,-4.913883,31.95795,0.455,0.012554895991383196,0.4424451040086168
165108,-2.051095,38.21427,0.478,-0.12121011794475026,0.5992101179447502
165109,-1.139416,35.35185,0.464,0.06705439401347685,0.3969456059865232
165110,-2.591478,34.92074,0.464,-0.10080792284841401,0.5648079228484141
165111,2.442903,30.85373,0.446,-0.08582594202432019,0.5318259420243202
165112,1.124199,34.87375,0.46,0.04133977059872076,0.4186602294012793
165113,1.380061,34.67672,0.459,-0.0930893536538225,0.5520893536538225
165115,3.138788,30.23157,0.443,-0.34851165236417414,0.7915116523641741
165213,30.844055,-14.17832,0.329,0.020796087514141918,0.3082039124858581
165215,-59.351105,59.90504,0.259,-0.032564234480145775,0.2915642344801458
165216,-52.446218,63.20681,0.427,-0.05250959454581789,0.4795095945458179
165467,-15.246202,43.43791,0.498,0.07840783181344069,0.4195921681865593
165468,-19.989066,45.56818,0.499,-0.12630541025602973,0.6253054102560297
165469,-15.99709,49.15398,0.545,0.06260546320031,0.48239453679969
165470,-17.953905,44.97113,0.501,-0.046108004444437974,0.547108004444438
165475,-10.285777,44.15315,0.512,-0.05658196897004708,0.5685819689700471
165476,-10.784368,40.54349,0.488,0.004084956986536637,0.48391504301346333
165477,-11.173581,42.02874,0.496,-0.021794354980770772,0.5177943549807708
165479,-7.171811,38.32218,0.479,-0.011373421089966603,0.49037342108996657
165482,-2.42068,34.6397,0.463,0.1934227571855646,0.2695772428144354
165484,-6.501459,42.17886,0.501,-0.11039628954772042,0.6113962895477204
165485,-7.426213,39.51838,0.485,-0.059800991620963966,0.544800991620964
165489,0.3288,38.2963,0.475,-0.00012432396609591133,0.4751243239660959
165491,-2.836544,48.59506,0.55,-0.08018036723529252,0.6301803672352926
165590,-56.08976,73.58181,0.6,-0.0411552569513065,0.6411552569513065
165597,-35.858135,12.63791,0.388,0.020201176484292982,0.36779882351570703
165598,-29.484545,15.45217,0.403,-0.028863444679984654,0.43186344467998466
165844,-49.916827,12.62013,0.307,0.020235553973162068,0.2867644460268379
165845,-46.253434,14.57619,0.318,0.1253679508563477,0.1926320491436523
165846,-39.36062,4.45222,0.426,0.09641763221422188,0.3295823677857781
165847,-24.026072,9.78417,0.439,-0.053469416702068444,0.49246941670206845
165848,-17.121901,-0.19515,0.483,0.10734819593872832,0.37565180406127163
165849,-14.371999,2.44574,0.473,0.10731388631342687,0.3656861136865731
165850,-17.716006,10.3606,0.447,-0.0990104006203396,0.5460104006203396
165851,-16.920909,12.65515,0.442,0.02142433067964253,0.42057566932035745
165852,-16.527512,9.38543,0.451,-0.012261611369227845,0.46326161136922783
165853,-17.139454,9.98454,0.449,-0.15967765097774508,0.6086776509777451
165854,-15.155613,6.87387,0.459,0.02963959351054347,0.42936040648945656
165855,-15.04179,6.33073,0.461,-0.03821389682608749,0.4992138968260875
165856,-10.731302,9.4236,0.453,0.06317942171131591,0.3898205782886841
165857,-12.515065,10.24174,0.451,0.003960051818392196,0.4470399481816078
165858,-11.160933,7.14005,0.458,0.00842146366667684,0.4495785363333232
165859,-9.170535,4.05132,0.465,0.037222530443373106,0.42777746955662693
165860,-10.610147,4.78648,0.464,-0.12978359243700402,0.5937835924370041
165861,-5.867833,-4.52418,0.48,0.08462279674121317,0.3953772032587868
165862,-5.729048,-8.04446,0.486,-0.13591265258279442,0.6219126525827944
165863,-7.207974,10.0858,0.451,0.05323655453850513,0.3977634454614949
165864,-9.151339,10.96997,0.45,-0.1076016191674832,0.5576016191674832
165865,-5.205553,6.63805,0.456,0.10055378575215422,0.3554462142478458
165867,-1.723052,7.24921,0.45,0.05543623131635147,0.39456376868364856
165868,-3.755722,5.81085,0.455,0.08350940558857582,0.3714905944114242
165869,1.562678,6.12693,0.446,0.11943066542992042,0.3265693345700796
